,Product name in Flipkart,Retail Price in Flipkart,Discounted price in Flipkart,Product name in Amazon,Retail Price in Amazon,Discounted price in Amazon
9798,"DailyObjects Back Cover for Apple iPad Mini, Retina Display",1999.0,1685.0,"DailyObjects Back Cover for Apple iPad Mini, Retina Display",1983,2052
9799,Shashvat Jewels Yellow Gold Diamond 14 K Ring,46029.0,36363.0,Shashvat Jewels Yellow Gold Diamond 14 K Ring,46015,46085
9800,DailyObjects Back Cover for Apple iPad 2/3/4,1999.0,1685.0,DailyObjects Back Cover for Apple iPad 2/3/4,1998,2152
9801,DailyObjects Back Cover for Apple iPad 2/3/4,1999.0,1685.0,DailyObjects Back Cover for Apple iPad 2/3/4,1996,2007
9802,Sapatos Plain Single Duvet Brown,2999.0,1499.0,Sapatos Plain Single Duvet Brown,2985,1789
9803,Karatcraft Clariz Gold Diamond 18 K Ring,46452.0,33106.0,Karatcraft Clariz Gold Diamond 18 K Ring,46433,40723
9804,DailyObjects Back Cover for Apple iPad 2/3/4,1999.0,1685.0,DailyObjects Back Cover for Apple iPad 2/3/4,1985,2178
9805,Karatcraft River Delta Yellow Gold Diamond 18 K Ring,38309.0,26988.0,Karatcraft River Delta Yellow Gold Diamond 18 K Ring,38297,32341
9806,DailyObjects Back Cover for Apple iPad 2/3/4,1999.0,1685.0,DailyObjects Back Cover for Apple iPad 2/3/4,1995,1948
9807,Karatcraft Zetra Yellow Gold Diamond 18 K Ring,40871.0,30842.0,Karatcraft Zetra Yellow Gold Diamond 18 K Ring,40870,36849
9808,Karatcraft Decoro Yellow Gold Diamond 18 K Ring,36586.0,25686.0,Karatcraft Decoro Yellow Gold Diamond 18 K Ring,36582,32437
9809,Sapatos Plain Single Duvet Blue,2999.0,1499.0,Sapatos Plain Single Duvet Blue,2993,1775
9810,"Enthopia Flip Cover for iPad 2, iPad 3, iPad 4",2895.0,1499.0,"Enthopia Flip Cover for iPad 2, iPad 3, iPad 4",2893,1770
9811,P.N.Gadgil Jewellers Gold Diamond 18K Yellow Gold 18 K Ring,49998.0,36882.0,P.N.Gadgil Jewellers Gold Diamond 18K Yellow Gold 18 K Ring,49989,40770
9812,"DailyObjects Back Cover for Apple iPad Mini, Retina Display",1999.0,1685.0,"DailyObjects Back Cover for Apple iPad Mini, Retina Display",1983,2125
9813,DailyObjects Back Cover for Apple iPad 2/3/4,1999.0,1685.0,DailyObjects Back Cover for Apple iPad 2/3/4,1984,2124
9814,Radiant Bay Pretty Me White Gold Diamond 18 K Ring,49519.0,39615.0,Radiant Bay Pretty Me White Gold Diamond 18 K Ring,49516,44932
9815,Karatcraft Scalaria Yellow Gold Diamond 18 K Ring,37752.0,26231.0,Karatcraft Scalaria Yellow Gold Diamond 18 K Ring,37742,28861
9816,"MHK Pouch for Apple iPad Air, Apple iPad Air 2, Apple 4th Generation iPad, Apple iPad 4",2199.0,1199.0,"MHK Pouch for Apple iPad Air, Apple iPad Air 2, Apple 4th Generation iPad, Apple iPad 4",2179,1420
9817,Karatcraft Paltini Gold Diamond 18 K Ring,49999.0,38287.0,Karatcraft Paltini Gold Diamond 18 K Ring,49992,46642
9818,BMS Lifestyle Keyboard Case for Apple iPad Air,1999.0,1499.0,BMS Lifestyle Keyboard Case for Apple iPad Air,1985,1904
9819,Jewels5 Olivoa Gold Diamond 18 K Ring,37437.0,26571.0,Jewels5 Olivoa Gold Diamond 18 K Ring,37421,30521
9820,Caratcents Gold 18 K Ring,49999.0,37652.0,Caratcents Gold 18 K Ring,49995,47167
9821,"DailyObjects Back Cover for Apple iPad 2, 3, 4",1999.0,1685.0,"DailyObjects Back Cover for Apple iPad 2, 3, 4",1985,1909
9822,Suranas Jewelove Price Point Bands Sj Pto 234 Platinum Ring Set,49999.0,40000.0,Suranas Jewelove Price Point Bands Sj Pto 234 Platinum Ring Set,49993,45624
9823,Eventz Gifts Allah Showpiece  -  20 cm,1300.0,910.0,Eventz Gifts Allah Showpiece  -  20 cm,1297,1081
9824,BlueStone The Morning Glory Band White Gold Diamond 18 K Ring,49421.0,36576.0,BlueStone The Morning Glory Band White Gold Diamond 18 K Ring,49405,42846
9825,"Enthopia Back Cover for iPad Air, iPad 5",2895.0,1499.0,"Enthopia Back Cover for iPad Air, iPad 5",2886,1882
9826,Remington Body Hair BHT6100 Trimmer For Men,2495.0,1996.0,Remington Body Hair BHT6100 Trimmer For Men,2493,2346
9827,Karatcraft Intima Yellow Gold Diamond 18 K Ring,40097.0,29902.0,Karatcraft Intima Yellow Gold Diamond 18 K Ring,40080,36172
9828,Sapatos Plain Single Duvet Maroon,2999.0,1499.0,Sapatos Plain Single Duvet Maroon,2991,1717
9829,DailyObjects Back Cover for Apple iPad 2/3/4,1999.0,1685.0,DailyObjects Back Cover for Apple iPad 2/3/4,1998,2152
9830,"DailyObjects Back Cover for Apple iPad 2, 3, 4",1999.0,1685.0,"DailyObjects Back Cover for Apple iPad 2, 3, 4",1995,2147
9831,Shashvat Jewels Yellow Gold Diamond 18 K Ring,47845.0,37798.0,Shashvat Jewels Yellow Gold Diamond 18 K Ring,47836,41881
9832,Home Originals Abstract Double Quilts & Comforters Multicolor,2999.0,1199.0,Home Originals Abstract Double Quilts & Comforters Multicolor,2981,1368
9833,"Bid4desire Resin, Alloy Jewel Set",550.0,500.0,"Bid4desire Resin, Alloy Jewel Set",543,643
9834,Karatcraft Platzi Yellow Gold Diamond 18 K Ring,36631.0,25552.0,Karatcraft Platzi Yellow Gold Diamond 18 K Ring,36629,32010
9835,"Enthopia Back Cover for Ipad Air, Ipad 5",2895.0,1499.0,"Enthopia Back Cover for Ipad Air, Ipad 5",2888,2359
9836,Sapatos Plain Single Dohar Black,2999.0,1499.0,Sapatos Plain Single Dohar Black,2995,1784
9837,Radiant Bay Luxurious Solitaire White Gold Diamond 18 K Ring,32460.0,25968.0,Radiant Bay Luxurious Solitaire White Gold Diamond 18 K Ring,32456,31026
9838,Radiant Bay Radiant Love White Gold Diamond 18 K Ring,37904.0,30323.0,Radiant Bay Radiant Love White Gold Diamond 18 K Ring,37891,38428
9839,Hoko Book Cover for Apple iPad 3 (The new iPad),2500.0,1250.0,Hoko Book Cover for Apple iPad 3 (The new iPad),2486,1390
9840,Pompom Sweethearts Velcro U Shape Nappy Set Of 5,349.0,279.0,Pompom Sweethearts Velcro U Shape Nappy Set Of 5,336,353
9841,Jewels5 Lavatera Yellow Gold Diamond 18 K Ring,39780.0,28172.0,Jewels5 Lavatera Yellow Gold Diamond 18 K Ring,39761,31489
9842,Karatcraft Purezza Yellow Gold Diamond 18 K Ring,41671.0,29051.0,Karatcraft Purezza Yellow Gold Diamond 18 K Ring,41662,37007
9843,Unique Designes Flip Cover for Apple IPAD PRO(12 INCH),1999.0,1499.0,Unique Designes Flip Cover for Apple IPAD PRO(12 INCH),1998,1922
9844,Radiant Bay Striking Square White Gold Diamond 18 K Ring,31337.0,25070.0,Radiant Bay Striking Square White Gold Diamond 18 K Ring,31331,31286
9845,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2895.0,1699.0,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2887,1874
9846,X Doria Book Case for iPad / 2,2295.0,1928.0,X Doria Book Case for iPad / 2,2277,2276
9847,Radiant Bay Astonishing Yellow Gold Diamond 18 K Ring,39002.0,31202.0,Radiant Bay Astonishing Yellow Gold Diamond 18 K Ring,38997,40010
9848,WhiteGems Appealing Damtshaa Gold Diamond 18 K Ring,40360.0,33966.0,WhiteGems Appealing Damtshaa Gold Diamond 18 K Ring,40353,42773
9849,DailyObjects Back Cover for Apple iPad 2/3/4,1999.0,1685.0,DailyObjects Back Cover for Apple iPad 2/3/4,1985,2178
9850,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1999.0,1685.0,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1995,2014
9851,Radiant Bay Five Stone Yellow Gold Diamond 14 K Ring,33188.0,26550.0,Radiant Bay Five Stone Yellow Gold Diamond 14 K Ring,33175,32392
9852,Jewels5 Aphrodite Gold Diamond 18 K Ring,44851.0,31636.0,Jewels5 Aphrodite Gold Diamond 18 K Ring,44835,39535
9853,"Enthopia Back Cover for iPad 2, iPad 3, iPad 4",2895.0,1499.0,"Enthopia Back Cover for iPad 2, iPad 3, iPad 4",2876,1888
9854,Radiant Bay Flourishing Infinity White Gold Diamond 14 K Ring,33004.0,26403.0,Radiant Bay Flourishing Infinity White Gold Diamond 14 K Ring,32985,29300
9855,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1999.0,1685.0,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1981,1868
9856,eCraftIndia Floral Queen Dohar Multicolor,2498.0,1095.0,eCraftIndia Floral Queen Dohar Multicolor,2497,1298
9857,"Enthopia Back Cover for iPad 2, iPad 3, iPad 4",2895.0,1499.0,"Enthopia Back Cover for iPad 2, iPad 3, iPad 4",2876,1888
9858,Rakam Gold Diamond Yellow Gold 18 K Ring,36125.0,30706.0,Rakam Gold Diamond Yellow Gold 18 K Ring,36123,35929
9859,"DailyObjects Back Cover for Apple iPad 2, 3, 4",1999.0,1685.0,"DailyObjects Back Cover for Apple iPad 2, 3, 4",1993,2029
9860,Karatcraft Vinea Yellow Gold Diamond 18 K Ring,38752.0,27434.0,Karatcraft Vinea Yellow Gold Diamond 18 K Ring,38751,32934
9861,Pretty Women Alloy Jewel Set,595.0,595.0,Pretty Women Alloy Jewel Set,590,671
9862,Rock Book Cover for Apple iPad Air 2,2599.0,1550.0,Rock Book Cover for Apple iPad Air 2,2583,1716
9863,"DailyObjects Back Cover for Apple iPad 2, 3, 4",1999.0,1685.0,"DailyObjects Back Cover for Apple iPad 2, 3, 4",1986,2034
9864,Karatcraft Dilectus Yellow Gold Diamond 18 K Ring,37917.0,27193.0,Karatcraft Dilectus Yellow Gold Diamond 18 K Ring,37909,32145
9865,Rakam Gold Diamond Yellow Gold 18 K Ring,33625.0,28581.0,Rakam Gold Diamond Yellow Gold 18 K Ring,33607,36914
9866,Riddhi Impex Blue 152 cm Table Runner,1000.0,499.0,Riddhi Impex Blue 152 cm Table Runner,992,616
9867,Sapatos Striped Single Duvet White & Purple,2999.0,1499.0,Sapatos Striped Single Duvet White & Purple,2987,1882
9868,BlueStone The Divine Union for Him Yellow Gold Diamond 18 K Ring,32660.0,25475.0,BlueStone The Divine Union for Him Yellow Gold Diamond 18 K Ring,32647,29621
9869,Dressmyphone Flip Cover for Apple Ipad Mini 1/2,1599.0,1299.0,Dressmyphone Flip Cover for Apple Ipad Mini 1/2,1582,1644
9870,Karatcraft Dilectus Yellow Gold Diamond 18 K Ring,39174.0,27823.0,Karatcraft Dilectus Yellow Gold Diamond 18 K Ring,39160,30941
9871,Abhushan Radha Krishna on Swing Showpiece  -  19 cm,900.0,695.0,Abhushan Radha Krishna on Swing Showpiece  -  19 cm,892,882
9872,"DailyObjects Back Cover for Apple iPad 2, Apple iPad 3, Apple iPad 4",1999.0,1685.0,"DailyObjects Back Cover for Apple iPad 2, Apple iPad 3, Apple iPad 4",1989,2135
9873,BlueStone The Glamour Fiesta Yellow Gold Diamond 18 K Ring,35384.0,25732.0,BlueStone The Glamour Fiesta Yellow Gold Diamond 18 K Ring,35372,30042
9874,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2895.0,1699.0,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2887,1874
9875,Karatcraft Raciel Gold Diamond 18 K Ring,35581.0,27766.0,Karatcraft Raciel Gold Diamond 18 K Ring,35571,35901
9876,BlueStone The Nabha Yellow Gold Diamond 14 K Ring,42939.0,29942.0,BlueStone The Nabha Yellow Gold Diamond 14 K Ring,42922,34478
9877,Karatcraft Donna Gold Diamond 18 K Ring,49999.0,35965.0,Karatcraft Donna Gold Diamond 18 K Ring,49998,40634
9878,Radiant Bay Significant Square White Gold Diamond 18 K Ring,33033.0,26426.0,Radiant Bay Significant Square White Gold Diamond 18 K Ring,33016,33930
9879,BMS Lifestyle Book Cover for Apple iPad Mini 3 C82,1599.0,1049.0,BMS Lifestyle Book Cover for Apple iPad Mini 3 C82,1590,1218
9880,"BlueStone Priyala Ring Yellow Gold Diamond, Ruby 18 K Ring",41863.0,32225.0,"BlueStone Priyala Ring Yellow Gold Diamond, Ruby 18 K Ring",41861,40152
9881,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1999.0,1685.0,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1981,2118
9882,"BlueStone The Ziva Yellow Gold Diamond, Emerald 18 K Ring",33477.0,26677.0,"BlueStone The Ziva Yellow Gold Diamond, Emerald 18 K Ring",33469,31701
9883,Rakam Gold Diamond Yellow Gold 18 K Ring,29875.0,25393.0,Rakam Gold Diamond Yellow Gold 18 K Ring,29874,31765
9884,Caratify Uniter Gold Diamond 14K Rose Gold 14 K Ring,40000.0,28580.0,Caratify Uniter Gold Diamond 14K Rose Gold 14 K Ring,39993,34131
9885,DailyObjects Book Cover for Apple iPad Mini With Retina Display,1999.0,1685.0,DailyObjects Book Cover for Apple iPad Mini With Retina Display,1982,2052
9886,Karatcraft Dilectus Yellow Gold Diamond 18 K Ring,38615.0,27543.0,Karatcraft Dilectus Yellow Gold Diamond 18 K Ring,38607,31696
9887,Voylla Artifictial Alloy Jewel Set,749.0,609.0,Voylla Artifictial Alloy Jewel Set,735,737
9888,"BlueStone The Amorous Noble White Gold Diamond, Tourmaline 18 K Ring",34822.0,25415.0,"BlueStone The Amorous Noble White Gold Diamond, Tourmaline 18 K Ring",34806,32210
9889,DailyObjects Back Cover for Apple iPad 2/3/4,1999.0,1685.0,DailyObjects Back Cover for Apple iPad 2/3/4,1995,1948
9890,Radiant Bay Vogue Twist White Gold Diamond 14 K Ring,41673.0,33338.0,Radiant Bay Vogue Twist White Gold Diamond 14 K Ring,41662,37976
9891,"Enthopia Back Cover for Ipad Air, Ipad 5",2895.0,1895.0,"Enthopia Back Cover for Ipad Air, Ipad 5",2888,2359
9892,Sapatos Geometric Single Duvet Purple & Pink,2999.0,1499.0,Sapatos Geometric Single Duvet Purple & Pink,2980,1755
9893,"Rakam Gold Emerald, Diamond 18 K Ring",40999.0,34799.0,"Rakam Gold Emerald, Diamond 18 K Ring",40980,42540
9894,Sapatos Abstract Single Quilts & Comforters Maroon & Gold,2999.0,1499.0,Sapatos Abstract Single Quilts & Comforters Maroon & Gold,2981,1707
9895,Reet Hot Selling Yellow Gold Diamond 18 K Ring,49999.0,41499.0,Reet Hot Selling Yellow Gold Diamond 18 K Ring,49984,47475
9896,SPANGLE Floral King Blanket CC0070001,2000.0,1100.0,SPANGLE Floral King Blanket CC0070001,1984,1342
9897,DailyObjects Back Cover for Apple iPad 2/3/4,1999.0,1685.0,DailyObjects Back Cover for Apple iPad 2/3/4,1991,1950
9898,Fullcutdiamond FCDR806R White Gold Diamond 18K White Gold 18 K Ring,47673.0,33372.0,Fullcutdiamond FCDR806R White Gold Diamond 18K White Gold 18 K Ring,47654,37870
9899,Karatcraft Merro Gold Diamond 18 K Ring,43469.0,31049.0,Karatcraft Merro Gold Diamond 18 K Ring,43458,36588
9900,Rock Book Cover for Samsung Galaxy Note 8.0 N5100,1599.0,1199.0,Rock Book Cover for Samsung Galaxy Note 8.0 N5100,1592,1395
9901,Karatcraft Wania Gold Diamond 18 K Ring,43462.0,30829.0,Karatcraft Wania Gold Diamond 18 K Ring,43451,39719
9902,Aviiq Book Cover for Apple iPad Mini,1350.0,1012.0,Aviiq Book Cover for Apple iPad Mini,1341,1272
9903,BlueStone The Beleca White Gold Diamond 18 K Ring,35258.0,26686.0,BlueStone The Beleca White Gold Diamond 18 K Ring,35240,31543
9904,Ermani Export Printed Single Quilts & Comforters Multicolor,3999.0,1195.0,Ermani Export Printed Single Quilts & Comforters Multicolor,3986,1431
9905,Karatcraft Zetra Yellow Gold Diamond 18 K Ring,40563.0,30106.0,Karatcraft Zetra Yellow Gold Diamond 18 K Ring,40558,35377
9906,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2895.0,1699.0,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2890,1953
9907,Radiant Bay Sublime Stunner White Gold Diamond 18 K Ring,31418.0,25134.0,Radiant Bay Sublime Stunner White Gold Diamond 18 K Ring,31416,27826
9908,Radiant Bay Modish White Gold Diamond 14 K Ring,38226.0,30581.0,Radiant Bay Modish White Gold Diamond 14 K Ring,38207,34450
9909,Voylla Precious Plain Yellow Gold Diamond Yellow Gold 14 K Ring,34799.0,27739.0,Voylla Precious Plain Yellow Gold Diamond Yellow Gold 14 K Ring,34782,32446
9910,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2895.0,1499.0,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2890,1953
9911,Home Originals Floral Double Quilts & Comforters Multicolor,2999.0,1199.0,Home Originals Floral Double Quilts & Comforters Multicolor,2993,1513
9912,"Enthopia Flip Cover for iPad 2, iPad 3, iPad 4",2895.0,1499.0,"Enthopia Flip Cover for iPad 2, iPad 3, iPad 4",2879,1937
9913,"Enthopia Back Cover for iPad 2, iPad 3, iPad 4",2895.0,1499.0,"Enthopia Back Cover for iPad 2, iPad 3, iPad 4",2876,1888
9914,"Ratnam Gold Ruby, Diamond 14 K Ring",43000.0,35850.0,"Ratnam Gold Ruby, Diamond 14 K Ring",42987,40286
9915,Rock Flip Cover for iPad Air,1899.0,1699.0,Rock Flip Cover for iPad Air,1891,1958
9916,BlueStone The Dali White Gold Diamond 18 K Ring,36271.0,25076.0,BlueStone The Dali White Gold Diamond 18 K Ring,36251,31078
9917,Sapatos Plain Single Duvet Red,2999.0,1499.0,Sapatos Plain Single Duvet Red,2983,1924
9918,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1999.0,1685.0,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1995,2014
9919,House This Yellow 150 cm Table Runner,399.0,319.0,House This Yellow 150 cm Table Runner,384,373
9920,Karatcraft Wadell Gold Diamond 18 K Ring,37123.0,26198.0,Karatcraft Wadell Gold Diamond 18 K Ring,37104,29834
9921,Bms Lifestyle Book Cover for Apple iPad 2,1599.0,1049.0,Bms Lifestyle Book Cover for Apple iPad 2,1590,1362
9922,Radiant Bay Royal D̩cor White Gold Diamond 18 K Ring,35974.0,28779.0,Radiant Bay Royal D̩cor White Gold Diamond 18 K Ring,35970,33365
9923,Diti Jewellery Gold 18 K Ring,35500.0,26625.0,Diti Jewellery Gold 18 K Ring,35490,33671
9924,"Enthopia Flip Cover for iPad 2, iPad 3, iPad 4",2895.0,2000.0,"Enthopia Flip Cover for iPad 2, iPad 3, iPad 4",2893,2405
9925,"Enthopia Back Cover for iPad 2, iPad 3, iPad 4",2895.0,1499.0,"Enthopia Back Cover for iPad 2, iPad 3, iPad 4",2876,1888
9926,Diti Jewellery 0.09 Cts Certified Diamond Rd0572 Gift Free Shipping Platinum Ring,33800.0,25350.0,Diti Jewellery 0.09 Cts Certified Diamond Rd0572 Gift Free Shipping Platinum Ring,33799,31938
9927,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1999.0,1685.0,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1990,1962
9928,BlueStone Break Free Yellow Gold Diamond 18 K Ring,44297.0,33441.0,BlueStone Break Free Yellow Gold Diamond 18 K Ring,44281,43283
9929,Radiant Bay Black Bejewel Yellow Gold Diamond 18 K Ring,44632.0,35706.0,Radiant Bay Black Bejewel Yellow Gold Diamond 18 K Ring,44617,45289
9930,"MHK Pouch for Apple iPad Air, Apple iPad Air 2, Apple 4th Generation iPad, Apple iPad 4",2299.0,1199.0,"MHK Pouch for Apple iPad Air, Apple iPad Air 2, Apple 4th Generation iPad, Apple iPad 4",2279,1463
9931,Karatcraft Two leaves Yellow Gold Diamond 18 K Ring,41151.0,29508.0,Karatcraft Two leaves Yellow Gold Diamond 18 K Ring,41133,36782
9932,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1999.0,1685.0,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1990,1962
9933,BlueStone Tripartite Axis Yellow Gold Diamond 18 K Ring,32744.0,25541.0,BlueStone Tripartite Axis Yellow Gold Diamond 18 K Ring,32740,28795
9934,"BlueStone The Charming Prince Yellow Gold Diamond, Ruby 14 K Ring",34952.0,27892.0,"BlueStone The Charming Prince Yellow Gold Diamond, Ruby 14 K Ring",34946,31487
9935,Caratcents Gold Diamond Yellow Gold 14 K Ring,40172.0,27719.0,Caratcents Gold Diamond Yellow Gold 14 K Ring,40167,31463
9936,"Enthopia Back Cover for iPad 2, iPad 3, iPad 4",2895.0,1499.0,"Enthopia Back Cover for iPad 2, iPad 3, iPad 4",2876,1888
9937,Radiant Bay Statusque Yellow Gold Diamond 18 K Ring,40285.0,32228.0,Radiant Bay Statusque Yellow Gold Diamond 18 K Ring,40282,35913
9938,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1999.0,1685.0,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1981,2118
9939,Radiant Bay Ribbon Ripples White Gold Diamond 18 K Ring,41259.0,33007.0,Radiant Bay Ribbon Ripples White Gold Diamond 18 K Ring,41243,42216
9940,Unravel India Lord Ganesha Showpiece  -  3.02 cm,1332.0,999.0,Unravel India Lord Ganesha Showpiece  -  3.02 cm,1323,1151
9941,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2895.0,1699.0,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2887,1874
9942,BlueStone The Elise White Gold Diamond 18 K Ring,34535.0,25577.0,BlueStone The Elise White Gold Diamond 18 K Ring,34530,29890
9943,Jss Exports JSS041 9-32 mm Double Sided Combination Wrench,600.0,249.0,Jss Exports JSS041 9-32 mm Double Sided Combination Wrench,597,287
9944,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1999.0,1685.0,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1981,2118
9945,Radiant Bay Ravishing Yellow Gold Diamond 18 K Ring,34451.0,27561.0,Radiant Bay Ravishing Yellow Gold Diamond 18 K Ring,34447,32052
9946,DailyObjects Back Cover for Apple iPad 2/3/4,1999.0,1685.0,DailyObjects Back Cover for Apple iPad 2/3/4,1998,2152
9947,Karatcraft Vinea Yellow Gold Diamond 18 K Ring,41522.0,29930.0,Karatcraft Vinea Yellow Gold Diamond 18 K Ring,41519,38440
9948,Rock Flip Cover for iPad Air,1999.0,1499.0,Rock Flip Cover for iPad Air,1992,1809
9949,Rasianve Silver Jewel Set,1225.0,999.0,Rasianve Silver Jewel Set,1218,1235
9950,DailyObjects Back Cover for Apple iPad 2/3/4,1999.0,1685.0,DailyObjects Back Cover for Apple iPad 2/3/4,1995,1948
9951,BlueStone The Grand Master Yellow Gold Diamond 18 K Ring,40234.0,32158.0,BlueStone The Grand Master Yellow Gold Diamond 18 K Ring,40224,40710
9952,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2895.0,1699.0,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2884,2015
9953,Karatcraft Cadena Yellow Gold Diamond 18 K Ring,39006.0,28607.0,Karatcraft Cadena Yellow Gold Diamond 18 K Ring,39004,35441
9954,Radiant Bay Fancy Ripples Yellow Gold Diamond 14 K Ring,37758.0,30206.0,Radiant Bay Fancy Ripples Yellow Gold Diamond 14 K Ring,37754,39048
9955,Demira Jewels Special Diva Yellow Gold Diamond 14 K Ring,42554.0,31916.0,Demira Jewels Special Diva Yellow Gold Diamond 14 K Ring,42544,39444
9956,WhiteGems Mia Band Gold Diamond 18 K Ring,49999.0,42996.0,WhiteGems Mia Band Gold Diamond 18 K Ring,49993,54229
9957,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2895.0,1699.0,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",2890,1953
9958,"Rakam Gold Ruby, Diamond Yellow Gold 18 K Ring",39875.0,33893.0,"Rakam Gold Ruby, Diamond Yellow Gold 18 K Ring",39863,37933
9959,"MHK Pouch for Apple iPad Air, Apple iPad Air 2, Apple 4th Generation iPad, Apple iPad 4",2399.0,1299.0,"MHK Pouch for Apple iPad Air, Apple iPad Air 2, Apple 4th Generation iPad, Apple iPad 4",2392,1495
9960,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1999.0,1685.0,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1995,2014
9961,Fullcutdiamond FCDR1889R Yellow Gold Diamond 18K Yellow Gold 18 K Ring,46837.0,32786.0,Fullcutdiamond FCDR1889R Yellow Gold Diamond 18K Yellow Gold 18 K Ring,46832,37503
9962,"Enthopia Back Cover for iPad Air, iPad 5",2895.0,1499.0,"Enthopia Back Cover for iPad Air, iPad 5",2886,1882
9963,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1999.0,1685.0,DailyObjects Back Cover for Apple iPad Mini/Retina Display,1991,2091
9964,Jewels5 Sunnie Yellow Gold Diamond 18 K Ring,40136.0,28415.0,Jewels5 Sunnie Yellow Gold Diamond 18 K Ring,40124,33251
9965,Karatcraft Somina Floral Gold Diamond 18 K Ring,39550.0,28184.0,Karatcraft Somina Floral Gold Diamond 18 K Ring,39548,33538
9966,Adaa Pagdi Ganesh in Yellow Dhoti Showpiece  -  6.8580000000000005 cm,750.0,590.0,Adaa Pagdi Ganesh in Yellow Dhoti Showpiece  -  6.8580000000000005 cm,745,689
9967,"DailyObjects Back Cover for Apple iPad 2, 3, 4",1999.0,1685.0,"DailyObjects Back Cover for Apple iPad 2, 3, 4",1991,2055
9968,Karatcraft Cadena Yellow Gold Diamond 18 K Ring,40589.0,30352.0,Karatcraft Cadena Yellow Gold Diamond 18 K Ring,40570,39076
9969,"Enthopia Flip Cover for iPad 2, iPad 3, iPad 4",2895.0,2000.0,"Enthopia Flip Cover for iPad 2, iPad 3, iPad 4",2893,2405
9970,BlueStone The Boulevard Yellow Gold Diamond 18 K Ring,45903.0,32812.0,BlueStone The Boulevard Yellow Gold Diamond 18 K Ring,45887,41117
9971,"JBB Combo Of Snooker Cue Professional Snooker, Billiards Cue Stick",1800.0,1350.0,"JBB Combo Of Snooker Cue Professional Snooker, Billiards Cue Stick",1793,1605
9972,Unique Designes Flip Cover for Apple IPAD PRO(12 INCH),2999.0,1999.0,Unique Designes Flip Cover for Apple IPAD PRO(12 INCH),2998,2521
9973,Karatcraft Two leaves Yellow Gold Diamond 18 K Ring,42207.0,30756.0,Karatcraft Two leaves Yellow Gold Diamond 18 K Ring,42192,34584
9974,DailyObjects Back Cover for Apple iPad 2/3/4,1999.0,1685.0,DailyObjects Back Cover for Apple iPad 2/3/4,1995,1948
9975,BlueStone The Jewel Bliss Yellow Gold Diamond 18 K Ring,37214.0,26708.0,BlueStone The Jewel Bliss Yellow Gold Diamond 18 K Ring,37204,33760
9976,JLT Sterling Silver Jewel Set,689.0,600.0,JLT Sterling Silver Jewel Set,680,719
9977,Karatcraft Scalaria Yellow Gold Diamond 18 K Ring,37333.0,26021.0,Karatcraft Scalaria Yellow Gold Diamond 18 K Ring,37319,32959
9978,"DailyObjects Back Cover for Apple iPad Mini, Retina Display",1999.0,1685.0,"DailyObjects Back Cover for Apple iPad Mini, Retina Display",1983,2052
9979,Fullcutdiamond FCDR7166R Yellow Gold Diamond 18K Yellow Gold 18 K Ring,48375.0,33863.0,Fullcutdiamond FCDR7166R Yellow Gold Diamond 18K Yellow Gold 18 K Ring,48371,42529
